address,private_key,wallet_type,label,balance_eth,nonce,total_transactions,total_gas_used,created_at
0xEd14eDC72F6DA4f2a68b339d6B3526534c9C5c59,0x900e5e182bfdadf83948ac109b553079e72b983e9a00c1d71003d2e0c7073c5e,funder,main_funder,0,0,0,0,2025-06-25T00:00:00Z
0xE26E30d3dd83627e4ADf96C87c5Fc1A290f03bed,0xcd4f3eaf73587b9ed7f6a351533783f63ae7b2f0091df72508e974927176fe60,payment_user,user_alice,0.005,0,0,0,2025-06-24T22:09:05.701697
0x6A590348500A4d423bd2660b44C94458447e4D92,0x0e9abcd542a759757f4a7c48246a2d0b4e9b89aa398ec5248aea716c3adf0442,payment_user,user_bob,0.005,0,0,0,2025-06-24T22:09:05.702764
0x4C403a9e4BA771816022D2D44FAb3D39EEe71d6E,0x806fc3b60a8009541c8e5137e8ea5be20e29ac5918f486869e586d1fb8492d82,payment_user,user_charlie,0.005,0,0,0,2025-06-24T22:09:05.703815
0xf0e75a1Ef0B79DFc3d33A7062646E72D92d70e48,0xc77157b80d76770207f65b044511f32e42c9779fcac677a5b6583b3ed0fea92a,merchant,merchant_store_a,0.005,0,0,0,2025-06-24T22:09:05.704918
0x6263DBE3D26a28fE0C11Fb88761Fc5Ac33Bf1d58,0x63b149244fafeb8e9b93dcdfcf8b6a75270b376599d4f00a08a470cbcaca680e,merchant,merchant_store_b,0.005,0,0,0,2025-06-24T22:09:05.706003
0x864BBd89AB4814912A63167a91DA633BCe356729,0xa62759730eda7bbd5bb1336947082915190eee777882fd3b3d453ca3470be843,lender,lending_protocol,0.005,0,0,0,2025-06-24T22:09:05.707082
0x0Bb6ec0ed8ABebdce4D5383Be8Bfa0a06D6Ef341,0x4df9f9e681e68818517f1e2bfeeab92ddaef22804ca8412761fb80d36971e6c8,borrower,borrower_alice,0.005,0,0,0,2025-06-24T22:09:05.708164
0x8a03c782E3c7F58955BC42c3C8FfdBF0a8dB3008,0x1bed77d73c67c074b70b32e0bba9eafb0d3e3ac46d933d8ddecc4681d002e8ae,iot_device,iot_device_pool,0.005,0,0,0,2025-06-24T22:09:05.709277
0xe2adB5B52043576f2C1d382020bcda2899686F72,0x6801d6844d6fa9aec8cb1868dd532c854e06305fbc0ab09559e079bd3ec95aa0,iot_operator,iot_operator_a,0.005,0,0,0,2025-06-24T22:09:05.710523
0x4a303984Bf3a0829261391bb4c9a243F1Dfd7087,0x1aac4357cb2022ec4d824ed09a9960e7c58d06026b9beedf3b23e2fa818cea08,iot_operator,iot_operator_b,0.005,0,0,0,2025-06-24T22:09:05.711589
0xB813b503600C97952E10fd6f238f3b53B1B23E8F,0x730f1b12d290e5bc79313e35c56433b50093bfe684bf34024e68cd10070d89e1,payment_user,auto_user_4,0.005,0,0,0,2025-06-24T22:19:29.899365
0x56729034cDdeed42FC7FdE953d737735753e6E1e,0xe6e5bd82114da82814809b34dbf03ac7b3abfba71728ae7293db1bfd04496542,payment_user,auto_user_5,0.005,0,0,0,2025-06-24T22:19:29.900535
0x54BaBa905DBfA2e3Acd4dd4e47799FA4f9fB89DB,0x495d7028c27a18921d86bf265d570ee127b5fba75dc275226b139a5fbdf0b44c,payment_user,auto_user_6,0.005,0,0,0,2025-06-24T22:19:29.901692
0x68E7C4CB5E7d6Ee250Ad1b7812d0D56186861863,0x71c9f7219ff30e98c5b0a76e3ea898c68f29686ace12d785ec35f017a0ddec78,payment_user,auto_user_7,0.005,0,0,0,2025-06-24T22:19:29.902901
0xEB985bf239baC1658E119f5E41bF704dcE35da94,0xecf99b69ffbb2567e2d50b14d2c70b84e5cd73bab8db08b8f9db61194ed21e9d,payment_user,auto_user_8,0.005,0,0,0,2025-06-24T22:19:29.904089
0x084E38a97430edACFA4CBd9305a1a13924A6665c,0x4734495255ee908fb39ff296cb4e877e4e8e01a85b186a0d397deeb9eddbddba,payment_user,auto_user_9,0.005,0,0,0,2025-06-24T22:19:29.905263
0xAEee257cbF616a620C839665298eb09F62E77f9B,0xa4574c08d55b3de232a7d3dd863f29144d4209a7a0493b82f176fbb32fed38de,payment_user,auto_user_10,0.005,0,0,0,2025-06-24T22:19:29.906383
0x0606e69Ea93515a05d0BB65Dc6208b4E8095A014,0xb9f15556e8aa0660ef014d372a9d1bc606041b83d0d04fa0cafb0b3dcefff494,payment_user,auto_user_11,0.005,0,0,0,2025-06-24T22:19:29.907493
0x8505714BdAAdd02b22746f9772aa0CE8DD9922DD,0x266b29488fea07d45b4954e52d5325d9dc67222eacd46bad5786453804224c7a,payment_user,auto_user_12,0.005,0,0,0,2025-06-24T22:19:29.908591
0xee3Aad90dDF580649b7938e8aCcE93Eb7414FB5A,0x8b8a44007bc21a56922771a2cdf1d39d39acda4180b391c9b25eeee6d2e3273e,payment_user,auto_user_13,0.005,0,0,0,2025-06-24T22:19:29.909732
0x5BABD6232D1E44eF60d602bde384232241e612E6,0x1e3a31daf12b537dcdce567b7169e6d15c95937d00a3b219f5ea43dcddbe87ea,payment_user,auto_user_14,0.005,0,0,0,2025-06-24T22:19:29.910881
0xd81509af6F29B1A2CE7C2367807E89DB823eA3Cc,0x02c147d3d6d30b1a60636fb7d8a0007fd15920ca04ed332f62a10bb65667a772,payment_user,auto_user_15,0.005,0,0,0,2025-06-24T22:19:29.911934
0xA675af321014d6DC51C6f52A487D11ff1F83bDbA,0xdf8b1ec6beea3384e4681d10f3d1a53d27275e1f01ffc64a9a6a63ea86fbf9e6,payment_user,auto_user_16,0.005,0,0,0,2025-06-24T22:19:29.913047
0xD7504A63795F7d193BcF0Db31201cDaAb240adDd,0xf6a3b937d8a33f300454e3c2efabb6393a0442d5eb5ebf56c66f8f34f2207b3b,payment_user,auto_user_17,0.005,0,0,0,2025-06-24T22:19:29.914149
0x6ef74Fc1dbfd351096E2A080e1d1619258C98953,0x7a5c74ec119bcad5416d98d9c5b4968e79f8938d21e93b1bbf472f9786846f4c,payment_user,auto_user_18,0.005,0,0,0,2025-06-24T22:19:29.915254
