address,private_key,wallet_type,label,balance_eth,nonce,total_transactions,total_gas_used,created_at
0xcfed6433Fd76593fEd68Bd86393FA1B842f2EF61,0x1f8de033f3d2d079cf173949e424fcb11f7b5d96dafce76212580b9dfac877db,funder,main_funder,0.0,0,0,0,2025-06-25T16:54:14.977510
0xA7fB320C9c99499C1d1ba392cCEE95B9fC8b6c8b,0xe0fe5da78da38c23c06f5103a878faf195b95133ac1de483e889e44149f6a232,payment_user,user_alice,0.0,0,0,0,2025-06-25T16:54:14.979254
0x33c4479746f4Cd339B2d8a514AdeF26091d91FC0,0xe011686ce998be9e77c7800a397b38743f46fb309c75067dc25fc047248a8c4d,payment_user,user_bob,0.0,0,0,0,2025-06-25T16:54:14.980990
0x97EEe1AEEA50Dca1f37695cab903450006F7dCcB,0x084928e02e90b022f8f956e3cd09637c0dcc648990359b76bd3dd44beaefb4ca,payment_user,user_charlie,0.0,0,0,0,2025-06-25T16:54:14.982469
0x80bAa14B1f4F23dFC4776EcD0b8a2e53Ee6C0cE0,0xeba816a4d7b27ca8ce3f71758d296135aed7860b65ca125ea0a4f8ef62b5782d,merchant,merchant_store_a,0.0,0,0,0,2025-06-25T16:54:14.984152
0xAEB52116d3A163D96caBfA4257FEE0cd3821EC99,0x29b79dc50ed6a6bbdfe5d92664fb466286897ee6eaff79ea500a4f5a2a9e5f50,merchant,merchant_store_b,0.0,0,0,0,2025-06-25T16:54:14.986020
0x99030607d7C82D5256EF2cc97536fb49071Ee534,0x68233d271e46660a7e855c9f77c1d125c315198671db7924d40eab4b1cfe8a4a,lender,lending_protocol,0.0,0,0,0,2025-06-25T16:54:14.987515
0x7Af8eEa87741caD0DaF594Bd29a1E6e0e6b32181,0x316d5c3617c09c0bb0601e7208337b2761e774d6f36cdc40d44de78c0b6b4119,borrower,borrower_alice,0.0,0,0,0,2025-06-25T16:54:14.988929
0xbC02cc9B55d4a6716654bD787aF57cb0369fb672,0x84353d70c880779434ccea7880063e64346fe6252174d6072655ae9ab9cb6eb6,iot_device,iot_device_pool,0.0,0,0,0,2025-06-25T16:54:14.990384
0xC7817A1e75595DF04C4203DdD2a61b0A607cC0b4,0xb39abb0e48cb5851e47ba01acbe08bc4cd600fa9421f55f0095f11868c508c33,iot_operator,iot_operator_a,0.0,0,0,0,2025-06-25T16:54:14.991808
0x71A3E1434017404D234B5A3d3082326ec55eAf87,0x3e907e86633d9e7d294455d8c5e2aed34bf5f003cefef9f942b7773c45df48ab,iot_operator,iot_operator_b,0.0,0,0,0,2025-06-25T16:54:14.993284
